iter	Passed	Remaining
767	10672	3223
768	10688	3210
769	10703	3197
770	10717	3183
771	10731	3169
772	10745	3155
773	10759	3141
774	10774	3128
775	10790	3114
776	10804	3101
777	10820	3087
778	10837	3074
779	10852	3060
780	10869	3047
781	10885	3034
782	10903	3021
783	10919	3008
784	10936	2995
785	10953	2982
786	10969	2968
787	10986	2955
788	11003	2942
789	11022	2929
790	11043	2917
791	11061	2904
792	11078	2891
793	11094	2878
794	11112	2865
795	11129	2852
796	11146	2839
797	11163	2825
798	11178	2812
799	11194	2798
800	11210	2785
801	11227	2771
802	11245	2758
803	11260	2745
804	11277	2731
805	11293	2718
806	11311	2705
807	11332	2692
808	11347	2679
809	11366	2666
810	11383	2652
811	11399	2639
812	11414	2625
813	11430	2611
814	11447	2598
815	11461	2584
816	11474	2570
817	11492	2556
818	11506	2542
819	11521	2529
820	11536	2515
821	11551	2501
822	11566	2487
823	11583	2474
824	11599	2460
825	11615	2446
826	11630	2433
827	11645	2419
828	11659	2404
829	11674	2391
830	11686	2376
831	11701	2362
832	11717	2349
833	11733	2335
834	11748	2321
835	11764	2307
836	11781	2294
837	11797	2280
838	11811	2266
839	11827	2252
840	11844	2239
841	11859	2225
842	11873	2211
843	11888	2197
844	11902	2183
845	11917	2169
846	11931	2155
847	11945	2141
848	11961	2127
849	11975	2113
850	11990	2099
851	12006	2085
852	12021	2071
853	12036	2057
854	12050	2043
855	12065	2029
856	12081	2015
857	12094	2001
858	12106	1987
859	12123	1973
860	12138	1959
861	12154	1945
862	12169	1931
863	12184	1917
864	12199	1904
865	12213	1889
866	12230	1876
867	12247	1862
868	12264	1848
869	12281	1835
870	12296	1821
871	12312	1807
872	12326	1793
873	12341	1779
874	12358	1765
875	12374	1751
876	12389	1737
877	12409	1724
878	12422	1709
879	12440	1696
880	12456	1682
881	12473	1668
882	12488	1654
883	12502	1640
884	12514	1626
885	12534	1612
886	12549	1598
887	12562	1584
888	12578	1570
889	12594	1556
890	12608	1542
891	12624	1528
892	12640	1514
893	12654	1500
894	12670	1486
895	12685	1472
896	12699	1458
897	12713	1444
898	12726	1429
899	12741	1415
900	12756	1401
901	12772	1387
902	12787	1373
903	12803	1359
904	12821	1345
905	12836	1331
906	12852	1317
907	12867	1303
908	12882	1289
909	12897	1275
910	12911	1261
911	12926	1247
912	12942	1233
913	12956	1219
914	12968	1204
915	12984	1190
916	13000	1176
917	13015	1162
918	13032	1148
919	13047	1134
920	13063	1120
921	13079	1106
922	13093	1092
923	13108	1078
924	13122	1064
925	13138	1049
926	13153	1035
927	13167	1021
928	13180	1007
929	13195	993
930	13210	979
931	13226	964
932	13242	950
933	13257	936
934	13272	922
935	13287	908
936	13302	894
937	13320	880
938	13338	866
939	13353	852
940	13369	838
941	13385	824
942	13401	810
943	13418	796
944	13436	781
945	13456	768
946	13472	754
947	13489	739
948	13505	725
949	13525	711
950	13544	697
951	13560	683
952	13575	669
953	13594	655
954	13611	641
955	13626	627
956	13641	612
957	13656	598
958	13673	584
959	13690	570
960	13706	556
961	13721	542
962	13738	527
963	13753	513
964	13770	499
965	13787	485
966	13804	471
967	13822	456
968	13837	442
969	13851	428
970	13865	414
971	13879	399
972	13893	385
973	13908	371
974	13923	357
975	13937	342
976	13953	328
977	13967	314
978	13981	299
979	13995	285
980	14010	271
981	14023	257
982	14037	242
983	14052	228
984	14066	214
985	14081	199
986	14093	185
987	14107	171
988	14120	157
989	14139	142
990	14154	128
991	14169	114
992	14184	99
993	14200	85
994	14215	71
995	14229	57
996	14242	42
997	14256	28
998	14274	14
999	14288	0
